date,n1,n2,n3,n4,n5,s1,s2
20220715,9,17,29,38,39,7,10
20220719,6,23,27,40,41,2,12
20220722,16,18,29,32,50,4,11
20220726,3,5,17,25,27,1,9
20220729,3,23,38,43,48,3,8
20220802,7,18,28,40,48,8,11
20220805,3,29,33,35,44,8,10
20220809,18,19,21,27,47,5,11
20220812,14,17,34,35,42,6,10
20220816,10,14,25,32,39,7,8
20220819,2,9,13,19,38,2,6
20220823,19,26,31,39,48,2,3
20220826,22,23,25,38,44,11,12
20220830,4,6,10,15,19,1,4
20220902,7,12,13,20,45,3,12
20220906,7,10,22,29,44,4,5
20220909,17,23,24,26,27,4,9
20220913,9,12,15,40,47,1,11
20220916,10,27,36,45,49,3,4
20220920,11,21,23,32,48,3,12
20220923,14,15,22,35,48,3,8
20220927,4,20,21,34,44,1,3
20220930,1,2,11,16,26,3,12
20221004,3,18,28,42,43,3,12
20221007,26,27,42,45,50,1,12
20221011,8,23,32,35,40,1,8
20221014,24,28,29,34,48,3,7
20221018,3,5,13,42,48,1,6
20221021,25,26,28,38,40,1,6
20221025,7,24,34,39,46,1,6
20221028,14,16,21,28,35,1,11
20221101,19,37,42,47,48,1,6
20221104,2,11,37,45,47,2,3
20221108,3,5,32,33,50,1,8
20221111,2,19,24,25,44,2,10
20221115,13,21,24,31,33,1,12
20221118,13,16,19,35,41,1,11
20221122,21,22,24,29,42,3,11
20221125,19,21,35,37,39,2,6
20221129,15,20,24,35,38,8,12
20221202,12,21,35,39,45,6,11
20221206,12,20,25,26,27,8,12
20221209,8,27,31,46,50,1,3
20221213,3,9,12,26,30,10,11
20221216,2,15,19,35,44,2,7
20221220,1,11,17,20,27,4,5
20221223,16,17,23,26,35,5,11
20221227,19,31,33,34,43,3,5
20221230,17,34,42,47,48,1,9
20230103,20,21,29,45,46,3,10
20230106,16,31,35,44,45,4,12
20230110,11,13,34,40,42,3,10
20230113,4,13,25,33,37,5,10
20230117,18,21,30,46,50,2,6
20230120,3,6,13,40,42,7,11
20230124,11,27,41,43,47,7,11
20230127,8,9,15,19,31,10,12
20230131,7,12,19,33,43,3,7
20230203,2,14,17,32,45,3,10
20230207,2,8,34,44,47,3,9
20230210,3,13,25,36,47,3,8
20230214,24,26,38,43,46,2,3
20230217,8,23,27,42,45,1,9
20230221,21,22,34,41,49,2,7
20230224,7,23,34,42,48,1,3
20230228,12,29,33,37,47,5,10
20230303,3,6,8,24,50,10,11
20230307,11,13,24,35,50,6,11
20230310,9,16,37,38,48,2,7
20230314,16,26,28,31,46,11,12
20230317,5,15,26,37,49,8,11
20230321,1,9,20,29,32,2,3
20230324,5,12,25,36,46,6,10
20230328,16,21,34,36,44,9,10
20230331,16,18,28,34,47,5,10
20230404,10,16,31,33,50,3,8
20230407,5,26,28,36,46,6,12
20230411,10,14,16,19,29,2,10
20230414,4,11,37,44,49,6,7
20230418,17,21,23,35,37,10,11
20230421,7,8,18,33,42,2,8
20230425,10,29,30,40,45,1,12
20230428,11,13,16,23,34,1,10
20230502,7,32,44,47,48,7,8
20230505,3,8,18,34,49,3,7
20230509,13,17,21,28,46,7,9
20230512,9,10,13,39,44,4,6
20230516,4,6,9,14,37,4,11
20230519,18,27,34,41,49,3,9
20230523,5,6,14,23,34,2,11
20230526,15,25,37,38,41,1,7
20230530,27,29,32,33,47,2,8
20230602,3,12,15,25,43,10,11
20230606,13,21,32,39,50,2,10
20230609,18,26,36,41,50,11,12
20230613,15,16,21,41,50,5,6
20230616,7,26,34,41,44,9,11
20230620,11,17,28,32,35,5,6
20230623,1,3,11,33,46,10,11
20230627,17,22,23,27,44,1,7
20230630,1,6,25,29,36,7,10
20230704,14,17,23,36,44,2,8
20230707,2,11,12,19,38,4,8
20230711,2,11,28,42,48,4,9
20230714,5,8,29,35,48,5,6
20230718,4,12,34,35,45,1,9
20230721,7,31,33,35,36,7,10
20230725,5,7,11,27,37,6,12
20230728,7,32,33,34,38,6,9
20230801,25,27,35,40,45,7,11
20230804,15,20,31,44,48,1,3
20230808,8,9,33,35,40,3,6
20230811,4,6,10,13,34,3,5
20230815,3,5,9,32,43,6,10
20230818,23,25,30,44,47,9,12
20230822,2,9,23,32,40,6,7
20230825,16,17,34,35,44,5,10
20230829,21,23,32,40,49,8,11
20230901,4,5,35,37,43,5,6
20230905,1,7,24,41,48,10,12
20230908,10,20,21,26,33,3,4
20230912,5,14,36,40,42,2,11
